70d2668a-dbe4-4a2a-bb2f-f18f9e98460c	20221209	08:53:04	GET	/books/63900fc88e2b0f64e7bd8d22/6392a363bb79e96404fbe76b
a91a6a70-8201-4d26-8f2d-8f56ad2e4aa1	20221209	08:53:09	GET	/books/63900fc88e2b0f64e7bd8d22/reviews
58384323-fea2-4ab2-9ec8-e51a96c6ef5a	20221209	08:53:12	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
49a1fdaa-af54-4347-8d9e-5fd2e7dc5c03	20221209	08:53:49	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
9f7337c6-fd67-4333-9c54-85215ad64dd1	20221209	08:54:13	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
929cefb6-c69d-4ac7-aa60-1b3e36d38c6e	20221209	08:54:22	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
ab5c21fe-5b42-4155-86eb-32e05001bab6	20221209	08:54:36	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
427ba5b0-6c1d-4514-ae27-dbf8d4021c9d	20221209	08:55:05	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
1976f946-a320-4b78-baf1-fec3aaeab6ec	20221209	09:00:35	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
740863d9-cfc2-481a-a8a7-dfd742420fe5	20221209	09:01:42	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
5a25fff9-a138-413f-a239-afe259cff0aa	20221209	09:08:00	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
95841d45-709c-467f-9519-17383e1d6603	20221209	09:19:21	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
f62cc400-291b-4d3f-b8d0-b0424d67d139	20221209	09:19:27	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
fc054025-9e6b-4f8b-99cc-612d4ce95391	20221209	09:19:35	PUT	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
40ecf0ae-c5a0-4eb9-b32e-fc6e57aaeacb	20221209	09:24:17	DELETE	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
1ca8a3d1-92a6-4cc5-95a9-6a8d540bd356	20221209	09:25:06	DELETE	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
4ae42ce7-8729-4aae-9822-efc84a6b2444	20221209	09:25:42	DELETE	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
ea54d846-cf56-42c5-b799-0739436a60a5	20221209	09:26:45	DELETE	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
8d610c41-f623-432d-a3b7-2d440ca2599a	20221209	09:26:55	DELETE	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
6c13b587-c115-4b72-96fc-28fa2f81850b	20221209	09:27:02	DELETE	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
8dd6b666-8529-4a2f-84dd-52e3d2b04ef6	20221209	09:28:21	DELETE	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
abba496b-9ff1-475a-8937-42661af98eab	20221209	09:28:50	DELETE	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
88534206-1a4e-4647-854f-8bdff90d4f38	20221209	09:29:33	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/6392a363bb79e96404fbe76b
cf817480-daf1-4761-9818-2eff1e823bc5	20221209	09:29:37	GET	/books/63900fc88e2b0f64e7bd8d22/reviews/
f58946f5-51dc-45eb-aded-14318f8551b9	20221209	09:46:12	GET	/books/
f9dade50-edaf-44ec-aeec-6b4fc29b252e	20221209	09:46:29	GET	/books/63900fc88e2b0f64e7bd8d22
1dd94d6d-dca8-4223-a1f5-736013ca60c0	20221209	09:46:42	POST	/books/63900fc88e2b0f64e7bd8d22
ec08c0d8-837f-42c3-82ef-663197ff23ce	20221209	09:46:56	POST	/books/63900fc88e2b0f64e7bd8d22/reviews
8e86ae6e-7d14-41bb-aa15-72af8944cfa7	20221209	09:47:15	POST	/
810dc7a5-888e-436d-b842-371a6935e248	20221209	09:47:18	POST	/books
2371d9c7-d50d-4cf6-a2e4-97abc927c6d5	20221209	09:50:05	POST	/books
f8ea2572-87c9-4aab-ac98-e0da9ac25d52	20221212	08:42:46	GET	/category
751bc799-5f04-43ef-bb51-d0e1075e5404	20221212	08:43:13	GET	/category
f369c8a8-ad78-4063-802c-b919ff3e60c7	20221212	08:43:14	GET	/category
7125f4f6-cc77-42a0-ab44-b45d030bb26f	20221212	08:43:48	GET	/category
90da581e-e7e6-4e38-beb4-557487cf88a3	20221212	08:49:30	GET	/books
32a63cbb-30b8-4882-800e-b78ccba70d27	20221212	08:49:39	POST	/category
e15a25fc-56f1-4a61-9d06-8d3e112e372c	20221212	08:50:04	POST	/
58f47228-7c06-468e-abb5-c002d74ca68e	20221212	08:53:12	GET	/category
2fba870d-9342-4919-aac2-9830659cfcbc	20221212	08:53:32	POST	/category
e24a4195-1507-4da4-ac7a-aee40b3b49e5	20221212	08:55:00	GET	/category
e43e5f25-2570-493e-945e-7dff08857bea	20221212	08:55:04	POST	/category
c2dbb057-a0d0-4e78-8719-020293f5aa08	20221212	08:55:14	POST	/category
9b39ba39-267e-406f-afdd-fabdf2f4f57a	20221212	08:55:23	GET	/category
e2ac0023-4a75-4741-82c0-96f69b3d964d	20221212	08:55:44	GET	/category
700cf8ac-360f-41fa-93cb-e8f874965130	20221212	08:55:47	POST	/category
2181d8b9-2e7f-476f-ab0c-0197e15713c2	20221212	08:55:57	POST	/category
2b13ac8b-e36e-444c-b2b5-bc5364a268da	20221212	08:56:14	GET	/category
86128e53-5d33-48e4-be51-95fd2ea060ff	20221212	08:57:18	GET	/category
89d2b588-0555-48f8-bb08-8e92b5541387	20221212	08:59:31	POST	/category
4f869930-5e5f-4291-83b5-97038c4173e1	20221212	08:59:37	GET	/category
aa4d9f70-447c-4406-bc81-984aabd72559	20221212	09:03:05	POST	/category
e68b24c6-34bd-49cd-9fa4-1ac775be0967	20221212	09:03:24	GET	/category
3a1284d9-8a95-400f-b60c-12ba82772399	20221212	09:03:28	GET	/category/63969b964c27f843fd4ae2f9
a2818d9c-8bb8-4ed2-a821-5b074c45e29e	20221212	09:03:34	GET	/63969b964c27f843fd4ae2f9
40a60111-fe38-40d9-8c5a-52006c404243	20221212	09:07:29	GET	/category/63969b964c27f843fd4ae2f9
1e344fd9-d298-4753-8127-9820b2d72a96	20221212	09:09:56	GET	/category/63969b964c27f843fd4ae2f9
175bc4f8-8ecd-4619-9953-d5bb23e6c769	20221212	09:15:04	GET	/category/
37799282-5eb3-44d5-936a-ee83d273197c	20221212	09:15:56	GET	/books
2d92b2a6-2337-45f7-ad59-6436f2f55349	20221212	09:16:06	GET	/category/
a5e68fa3-5a4a-4814-830f-5ffd44980c95	20221212	09:16:10	POST	/category/
013cfdb2-5fd5-417d-bbc8-8642244deea3	20221212	09:16:18	GET	/category/
c62e1fba-648c-470f-8b3b-527aac7acd92	20221212	09:18:50	GET	/category/
